country,title,variety,color,drieness,flavors
Macedonia,Imako Vino Majestic Vranec,-,red,sweet,black forest fruit & cocoa
Albania,Shesh I Zi,-,red,sweet,forest fruits & unripe plum
Albania,E bardha e Beratit,-,white,dry,delicate flowers
Andorra,Borda Sabate Torb Organic,-,red,dry,mirtilos & framboesas & carvalho
Andorra,Casa Auvinya Imagine Vi de Neu,-,white,dry,tropical fruits and citrus fruits
Belgium,Vintense Syrah,-,pink,dry,herbs & elderberries
Belgium,Vendanges Mademoiselle Blanc BIO,-,white,dry,apple & blueberry
United Kingdom,Pinot Grigio Rose Brut,-,pink,dry,blueberry & violet
United Kingdom,Gusbourne Blanc de Blancs,-,white,dry,plum & pear & cinnamon
Estonia,Jeu Magic Immersive,-,white,medium-dry,fruity nuances & sweetness & sourness
Estonia,Saaremaa Riesling,-,white,dry,green apple & citrus & mineral tones
Lithuania,Bosca Anna Federica Limited,-,white,medium-dry,violet & barberry
Lithuania,Bosca Stories Of Italy Negroamaro,-,red,medium-dry,fruit & plums & jam
Latvia,Rigas Sampanietis Rose,-,pink,sweet,juicy fruit & berry
Latvia,Rigas Sampanietis Bruts,-,white,dry,fresh fruity notes
Malta,Caravaggio Cabernet Sauvignon Superior,-,dark ruby,dry,ripe berries & light spicy
Malta,Meridiana Fenici White,-,white,dry,notes of citrus & herbs
Netherlands,Wairau Valley Sauvignon Blanc,-,white,dry,pears & gooseberries
Netherlands,Weingut Auer Zweigelt,-,red,dry,barberry & plum
Poland,Cin&Cin Cherry,-,red,sweet,herbs & sweet spices
Poland,Henkell&Co Totino Lime,-,white,sweet,wormwood & lime
Turkey,Kavaklidere Angora,-,white,dry,gooseberries & fresh herbs
Turkey,Pasaeli Seahorse Blush Calkarasi,-,pink,dry,bay leaf & gooseberry
Finland,Moses Collection,-,red,dry,cherry & vanilla & cloves
Finland,Elysee Rose Demi-Sec,-,pink,medium-dry,red currants & strawberries
Montenegro,Plantaze Vranac Pro Corde,-,red,dry,blackberries & cherries & coffee
Montenegro,Plantaze Chardonnay,-,white,dry,green apple and pineapple
Denmark,Ris Souvignier gris dyrej wineyard,-,white,sweet,ripe peach
Denmark,Vejrh?j Ving?rd Sterling 2021,-,white,dry,apple & gooseberry
Ireland,M?in?ir Irish Blackberry Wine,-,dark ruby,sweet,wild elderberrie
Ireland,Killahora Apple Ice Wine,-,white,dry,ripe apple
Iceland,Kumala Cape Classic Red Wine,-,red,sweet,ripe blackberry & plum fruit
Iceland,Barefoot Merlot Red Wine,-,red,dry,blackberry & raspberry & chocolate
Kosovo,Prestige Cuve,-,dark ruby,medium-dry,pear & cinnamon
Kosovo,Antigona Rose,-,pink,dry,light fresh fruit
Liechtenstein,Hernnbaumgarten,-,white,dry,herbal & tropical fruit
Liechtenstein,Anberola Merlot,-,red,dry,red fruit & pepper 
Monaco,Ch?teau Chasse-Spleen,-,red,dry,plum & blackcurrant
Monaco,Alta Langa Leonardo,-,white,dry,woody & nutty
Norway,Rutini Collecien Gewerztraminer,-,white,dry,white flowers & peach & lychee
Norway,Uko Estate Malbec,-,red,medium-dry,dark violet cherries & plums & cedar
San Marino,Sangiovese di San Marino,-,red,dry,chocolate & cherry & plumb
San Marino,Sterpeto Riserva,-,red,dry,honey & stone fruits
Sweden,Vingrden i Klagshamn Terra Scania,-,white,sweet,green apples & pears & citrus
Sweden,Kullabergs Vingard Lyckeri,-,white,dry,barrel & green apples & citrus
Cyprus,Vouni Panayia Alina Xynisteri,-,white,dry,citrus & tropical fruits
Cyprus,Tsiakkas Maratheftiko,-,red,dry,dark berries & spices
Armenia,Zorah Karasi Areni Noir,-,red,dry,red berries & spices
Armenia,Voskevaz Areni,-,red,dry,wild berries & herbs
